SCLK,LMST,LTST,SOLAR_LONGITUDE_ANGLE,SOLAR_ZENITHAL_ANGLE,ROVER_POSITION_X,ROVER_POSITION_Y,ROVER_POSITION_Z,ROVER_VELOCITY,ROVER_PITCH,ROVER_YAW,ROVER_ROLL,MASTHEAD_AZIMUTH,MASTHEAD_ELEVATION
668366399.5,00016M14:00:54.149,0016 13:28:30,118.10,25.14,35.15,-20.53,-0.26,0.00,0.93,76.82,1.04,,
668366400,00016M14:00:54.636,0016 13:28:30,118.09,25.14,35.15,-20.53,-0.26,0.00,0.92,77.03,1.04,,
668366400.5,00016M14:00:55.122,0016 13:28:31,118.09,25.14,35.15,-20.53,-0.26,0.00,0.92,77.24,1.05,,
668366401,00016M14:00:55.609,0016 13:28:31,118.09,25.15,35.15,-20.53,-0.26,0.00,0.91,77.45,1.06,,
668366401.5,00016M14:00:56.095,0016 13:28:32,118.09,25.15,35.15,-20.53,-0.26,0.00,0.91,77.66,1.07,,
668366402,00016M14:00:56.582,0016 13:28:32,118.08,25.15,35.15,-20.53,-0.26,0.00,0.90,77.87,1.08,,
668366402.5,00016M14:00:57.069,0016 13:28:33,118.08,25.15,35.15,-20.53,-0.26,0.00,0.90,78.08,1.08,,
668366403,00016M14:00:57.555,0016 13:28:33,118.08,25.15,35.15,-20.53,-0.26,0.00,0.89,78.28,1.09,,
668366403.5,00016M14:00:58.042,0016 13:28:34,118.08,25.15,35.15,-20.54,-0.26,97.36,0.89,78.28,1.08,,
668366404,00016M14:00:58.529,0016 13:28:34,118.07,25.16,35.15,-20.55,-0.26,97.36,0.88,78.28,1.07,,
668366404.5,00016M14:00:59.015,0016 13:28:35,118.07,25.16,35.16,-20.57,-0.26,97.36,0.88,78.28,1.06,,
668366405,00016M14:00:59.502,0016 13:28:35,118.07,25.16,35.16,-20.58,-0.26,97.36,0.88,78.27,1.05,,
668366405.5,00016M14:00:59.988,0016 13:28:36,118.07,25.16,35.16,-20.59,-0.26,97.36,0.87,78.27,1.04,,
668366406,00016M14:01:00.475,0016 13:28:36,118.06,25.16,35.17,-20.61,-0.26,97.36,0.87,78.27,1.03,,
668366406.5,00016M14:01:00.962,0016 13:28:37,118.06,25.16,35.17,-20.62,-0.26,97.36,0.86,78.27,1.02,,
668366407,00016M14:01:01.448,0016 13:28:37,118.06,25.17,35.17,-20.63,-0.26,97.36,0.86,78.26,1.01,,
668366407.5,00016M14:01:01.935,0016 13:28:38,118.05,25.17,35.17,-20.65,-0.26,97.36,0.86,78.26,1.00,,
668366408,00016M14:01:02.422,0016 13:28:38,118.05,25.17,35.18,-20.66,-0.26,97.36,0.85,78.26,0.99,,
668366408.5,00016M14:01:02.908,0016 13:28:39,118.05,25.17,35.18,-20.67,-0.25,97.36,0.85,78.26,0.98,,
668366409,00016M14:01:03.395,0016 13:28:39,118.05,25.17,35.18,-20.69,-0.25,97.36,0.85,78.25,0.97,,
668366409.5,00016M14:01:03.881,0016 13:28:40,118.04,25.17,35.19,-20.70,-0.25,97.36,0.84,78.25,0.96,,
668366410,00016M14:01:04.368,0016 13:28:40,118.04,25.18,35.19,-20.71,-0.25,97.36,0.84,78.25,0.95,,
668366410.5,00016M14:01:04.855,0016 13:28:41,118.04,25.18,35.19,-20.73,-0.25,97.36,0.83,78.24,0.94,,
668366411,00016M14:01:05.341,0016 13:28:41,118.04,25.18,35.19,-20.74,-0.25,97.36,0.83,78.24,0.93,,
668366411.5,00016M14:01:05.828,0016 13:28:42,118.03,25.18,35.20,-20.75,-0.25,97.36,0.83,78.24,0.92,,
668366412,00016M14:01:06.315,0016 13:28:42,118.03,25.18,35.20,-20.77,-0.25,97.36,0.82,78.24,0.91,,
668366412.5,00016M14:01:06.801,0016 13:28:43,118.03,25.19,35.20,-20.78,-0.25,97.36,0.82,78.23,0.90,,
668366413,00016M14:01:07.288,0016 13:28:43,118.03,25.19,35.20,-20.79,-0.25,97.36,0.81,78.23,0.89,,
668366413.5,00016M14:01:07.774,0016 13:28:44,118.02,25.19,35.21,-20.81,-0.25,97.36,0.81,78.23,0.88,,
668366414,00016M14:01:08.261,0016 13:28:44,118.02,25.19,35.21,-20.82,-0.25,97.36,0.81,78.23,0.87,,
668366414.5,00016M14:01:08.748,0016 13:28:45,118.02,25.19,35.21,-20.83,-0.25,97.36,0.80,78.22,0.86,,
668366415,00016M14:01:09.234,0016 13:28:45,118.02,25.19,35.22,-20.85,-0.25,97.36,0.80,78.22,0.85,,
668366415.5,00016M14:01:09.721,0016 13:28:46,118.01,25.20,35.22,-20.86,-0.25,97.36,0.80,78.22,0.84,,
668366416,00016M14:01:10.208,0016 13:28:46,118.01,25.20,35.22,-20.87,-0.25,97.36,0.79,78.22,0.83,,
668366416.5,00016M14:01:10.694,0016 13:28:47,118.01,25.20,35.22,-20.89,-0.25,97.36,0.79,78.21,0.82,,
668366417,00016M14:01:11.181,0016 13:28:47,118.01,25.20,35.23,-20.90,-0.25,97.36,0.78,78.21,0.81,,
668366417.5,00016M14:01:11.667,0016 13:28:48,118.00,25.20,35.23,-20.91,-0.25,97.36,0.78,78.21,0.80,,
668366418,00016M14:01:12.154,0016 13:28:48,118.00,25.20,35.23,-20.92,-0.25,97.36,0.78,78.20,0.79,,
668366418.5,00016M14:01:12.641,0016 13:28:49,118.00,25.21,35.24,-20.94,-0.25,97.36,0.77,78.20,0.78,,
668366419,00016M14:01:13.127,0016 13:28:49,118.00,25.21,35.24,-20.95,-0.25,97.36,0.77,78.20,0.77,,
668366419.5,00016M14:01:13.614,0016 13:28:49,117.99,25.21,35.24,-20.96,-0.25,97.36,0.77,78.20,0.76,,
668366420,00016M14:01:14.101,0016 13:28:50,117.99,25.21,35.24,-20.98,-0.25,97.36,0.76,78.19,0.75,,
668366420.5,00016M14:01:14.587,0016 13:28:50,117.99,25.21,35.25,-20.99,-0.25,97.36,0.76,78.19,0.74,,
668366421,00016M14:01:15.074,0016 13:28:51,117.99,25.21,35.25,-21.00,-0.25,97.36,0.75,78.19,0.73,,
668366421.5,00016M14:01:15.560,0016 13:28:51,117.98,25.22,35.25,-21.02,-0.25,97.36,0.75,78.19,0.72,,
668366422,00016M14:01:16.047,0016 13:28:52,117.98,25.22,35.26,-21.03,-0.25,97.36,0.75,78.18,0.71,,
668366422.5,00016M14:01:16.534,0016 13:28:52,117.98,25.22,35.26,-21.04,-0.25,97.36,0.74,78.18,0.70,,
668366423,00016M14:01:17.020,0016 13:28:53,117.98,25.22,35.26,-21.06,-0.25,97.36,0.74,78.18,0.69,,
668366423.5,00016M14:01:17.507,0016 13:28:53,117.97,25.22,35.26,-21.07,-0.25,97.36,0.74,78.18,0.68,,
668366424,00016M14:01:17.994,0016 13:28:54,117.97,25.22,35.27,-21.08,-0.25,97.36,0.73,78.17,0.67,,
668366424.5,00016M14:01:18.480,0016 13:28:54,117.97,25.23,35.27,-21.10,-0.25,97.36,0.73,78.17,0.66,,
668366425,00016M14:01:18.967,0016 13:28:55,117.97,25.23,35.27,-21.11,-0.25,97.36,0.72,78.17,0.65,,
668366425.5,00016M14:01:19.453,0016 13:28:55,117.96,25.23,35.27,-21.12,-0.25,97.36,0.72,78.17,0.64,,
668366426,00016M14:01:19.940,0016 13:28:56,117.96,25.23,35.28,-21.14,-0.25,97.36,0.72,78.16,0.63,,
668366426.5,00016M14:01:20.427,0016 13:28:56,117.96,25.23,35.28,-21.15,-0.25,97.36,0.71,78.16,0.62,,
668366427,00016M14:01:20.913,0016 13:28:57,117.95,25.23,35.28,-21.16,-0.25,97.36,0.71,78.16,0.61,,
668366427.5,00016M14:01:21.400,0016 13:28:57,117.95,25.24,35.29,-21.18,-0.25,97.36,0.70,78.15,0.60,,
668366428,00016M14:01:21.887,0016 13:28:58,117.95,25.24,35.29,-21.19,-0.25,97.36,0.70,78.15,0.59,,
668366428.5,00016M14:01:22.373,0016 13:28:58,117.95,25.24,35.29,-21.20,-0.25,97.36,0.70,78.15,0.58,,
668366429,00016M14:01:22.860,0016 13:28:59,117.94,25.24,35.29,-21.22,-0.25,97.36,0.69,78.15,0.57,,
668366429.5,00016M14:01:23.346,0016 13:28:59,117.94,25.24,35.30,-21.23,-0.25,97.36,0.69,78.14,0.56,,
668366430,00016M14:01:23.833,0016 13:29:00,117.94,25.24,35.30,-21.24,-0.25,97.36,0.69,78.14,0.55,,
668366430.5,00016M14:01:24.320,0016 13:29:00,117.94,25.25,35.30,-21.26,-0.25,97.36,0.68,78.14,0.54,,
668366431,00016M14:01:24.806,0016 13:29:01,117.93,25.25,35.31,-21.27,-0.25,97.36,0.68,78.14,0.53,,
668366431.5,00016M14:01:25.293,0016 13:29:01,117.93,25.25,35.31,-21.28,-0.25,97.36,0.67,78.13,0.52,,
668366432,00016M14:01:25.780,0016 13:29:02,117.93,25.25,35.31,-21.30,-0.25,97.36,0.67,78.13,0.51,,
668366432.5,00016M14:01:26.266,0016 13:29:02,117.93,25.25,35.31,-21.31,-0.25,97.36,0.67,78.13,0.50,,
668366433,00016M14:01:26.753,0016 13:29:03,117.92,25.25,35.32,-21.32,-0.25,97.36,0.66,78.13,0.49,,
668366433.5,00016M14:01:27.239,0016 13:29:03,117.92,25.26,35.32,-21.34,-0.25,97.36,0.66,78.12,0.48,,
668366434,00016M14:01:27.726,0016 13:29:04,117.92,25.26,35.32,-21.35,-0.25,97.36,0.66,78.12,0.47,,
668366434.5,00016M14:01:28.213,0016 13:29:04,117.92,25.26,35.33,-21.36,-0.25,97.36,0.65,78.12,0.46,,
668366435,00016M14:01:28.699,0016 13:29:05,117.91,25.26,35.33,-21.37,-0.25,97.36,0.65,78.12,0.45,,
668366435.5,00016M14:01:29.186,0016 13:29:05,117.91,25.26,35.33,-21.39,-0.25,97.36,0.64,78.11,0.44,,
668366436,00016M14:01:29.673,0016 13:29:06,117.91,25.26,35.33,-21.40,-0.25,97.36,0.64,78.11,0.43,,
668366436.5,00016M14:01:30.159,0016 13:29:06,117.91,25.27,35.34,-21.41,-0.25,97.36,0.64,78.11,0.42,,
668366437,00016M14:01:30.646,0016 13:29:07,117.90,25.27,35.34,-21.43,-0.25,97.36,0.63,78.11,0.41,,
668366437.5,00016M14:01:31.133,0016 13:29:07,117.90,25.27,35.34,-21.44,-0.25,97.36,0.63,78.10,0.40,,
668366438,00016M14:01:31.619,0016 13:29:07,117.90,25.27,35.34,-21.45,-0.25,97.36,0.62,78.10,0.39,,
668366438.5,00016M14:01:32.106,0016 13:29:08,117.90,25.27,35.35,-21.47,-0.25,97.36,0.62,78.10,0.38,,
668366439,00016M14:01:32.592,0016 13:29:08,117.89,25.28,35.35,-21.48,-0.25,97.36,0.62,78.09,0.37,,
668366439.5,00016M14:01:33.079,0016 13:29:09,117.89,25.28,35.35,-21.49,-0.25,97.36,0.61,78.09,0.36,,
668366440,00016M14:01:33.566,0016 13:29:09,117.89,25.28,35.36,-21.51,-0.25,97.36,0.61,78.09,0.35,,
668366440.5,00016M14:01:34.052,0016 13:29:10,117.89,25.28,35.36,-21.52,-0.25,68.84,0.60,78.09,0.35,,
668366441,00016M14:01:34.539,0016 13:29:10,117.88,25.28,35.36,-21.53,-0.25,68.84,0.59,78.09,0.36,,
668366441.5,00016M14:01:35.026,0016 13:29:11,117.88,25.28,35.36,-21.54,-0.25,68.84,0.58,78.09,0.36,,
668366442,00016M14:01:35.512,0016 13:29:11,117.88,25.29,35.36,-21.54,-0.25,68.84,0.58,78.09,0.37,,
668366442.5,00016M14:01:35.999,0016 13:29:12,117.88,25.29,35.37,-21.55,-0.25,68.84,0.57,78.09,0.37,,
668366443,00016M14:01:36.485,0016 13:29:12,117.87,25.29,35.37,-21.56,-0.25,68.84,0.56,78.09,0.37,,
668366443.5,00016M14:01:36.972,0016 13:29:13,117.87,25.29,35.37,-21.57,-0.25,68.84,0.55,78.09,0.38,,
668366444,00016M14:01:37.459,0016 13:29:13,117.87,25.29,35.37,-21.58,-0.25,68.84,0.54,78.09,0.38,,
668366444.5,00016M14:01:37.945,0016 13:29:14,117.87,25.29,35.37,-21.59,-0.25,68.84,0.53,78.09,0.38,,
668366445,00016M14:01:38.432,0016 13:29:14,117.86,25.30,35.38,-21.60,-0.25,68.84,0.52,78.09,0.39,,
668366445.5,00016M14:01:38.919,0016 13:29:15,117.86,25.30,35.38,-21.61,-0.25,68.84,0.52,78.09,0.39,,
668366446,00016M14:01:39.405,0016 13:29:15,117.86,25.30,35.38,-21.62,-0.25,68.84,0.51,78.09,0.40,,
668366446.5,00016M14:01:39.892,0016 13:29:16,117.86,25.30,35.38,-21.63,-0.25,68.84,0.50,78.09,0.40,,
668366447,00016M14:01:40.378,0016 13:29:16,117.85,25.30,35.38,-21.64,-0.25,68.84,0.49,78.09,0.40,,
668366447.5,00016M14:01:40.865,0016 13:29:17,117.85,25.30,35.39,-21.65,-0.25,68.84,0.48,78.09,0.41,,
668366448,00016M14:01:41.352,0016 13:29:17,117.85,25.31,35.39,-21.66,-0.25,68.84,0.47,78.09,0.41,,
668366448.5,00016M14:01:41.838,0016 13:29:18,117.84,25.31,35.39,-21.67,-0.25,68.84,0.47,78.09,0.41,,
668366449,00016M14:01:42.325,0016 13:29:18,117.84,25.31,35.39,-21.68,-0.25,68.84,0.46,78.09,0.42,,
668366449.5,00016M14:01:42.812,0016 13:29:19,117.84,25.31,35.39,-21.68,-0.25,68.84,0.45,78.09,0.42,,
668366450,00016M14:01:43.298,0016 13:29:19,117.84,25.31,35.40,-21.69,-0.25,68.84,0.44,78.09,0.43,,
668366450.5,00016M14:01:43.785,0016 13:29:20,117.83,25.31,35.40,-21.70,-0.25,68.84,0.43,78.09,0.43,,
668366451,00016M14:01:44.271,0016 13:29:20,117.83,25.32,35.40,-21.71,-0.25,68.84,0.42,78.09,0.43,,
668366451.5,00016M14:01:44.758,0016 13:29:21,117.83,25.32,35.40,-21.72,-0.25,68.84,0.41,78.09,0.44,,
668366452,00016M14:01:45.245,0016 13:29:21,117.83,25.32,35.40,-21.73,-0.25,68.84,0.41,78.09,0.44,,
668366452.5,00016M14:01:45.731,0016 13:29:22,117.82,25.32,35.41,-21.74,-0.25,68.84,0.40,78.09,0.44,,
668366453,00016M14:01:46.218,0016 13:29:22,117.82,25.32,35.41,-21.75,-0.25,68.84,0.39,78.08,0.45,,
668366453.5,00016M14:01:46.705,0016 13:29:23,117.82,25.32,35.41,-21.76,-0.25,68.84,0.38,78.08,0.45,,
668366454,00016M14:01:47.191,0016 13:29:23,117.82,25.33,35.41,-21.77,-0.25,68.84,0.37,78.08,0.46,,
668366454.5,00016M14:01:47.678,0016 13:29:24,117.81,25.33,35.41,-21.77,-0.25,0.00,0.37,78.08,0.46,,
668366455,00016M14:01:48.164,0016 13:29:24,117.81,25.33,35.41,-21.77,-0.25,0.00,0.37,78.08,0.46,,
668366455.5,00016M14:01:48.651,0016 13:29:25,117.81,25.33,35.41,-21.77,-0.25,0.00,0.37,78.08,0.46,,
668366456,00016M14:01:49.138,0016 13:29:25,117.81,25.33,35.41,-21.77,-0.25,0.00,0.37,78.08,0.46,,
668366456.5,00016M14:01:49.624,0016 13:29:25,117.80,25.33,35.41,-21.77,-0.25,0.00,0.37,78.08,0.46,,
668366457,00016M14:01:50.111,0016 13:29:26,117.80,25.34,35.41,-21.77,-0.25,0.00,0.37,78.08,0.46,,
668366457.5,00016M14:01:50.598,0016 13:29:26,117.80,25.34,35.41,-21.77,-0.25,0.00,0.37,78.08,0.46,,
668366458,00016M14:01:51.084,0016 13:29:27,117.80,25.34,35.41,-21.77,-0.25,0.00,0.37,78.08,0.46,,
668366458.5,00016M14:01:51.571,0016 13:29:27,117.79,25.34,35.41,-21.77,-0.25,0.00,0.37,78.08,0.46,,
668366459,00016M14:01:52.057,0016 13:29:28,117.79,25.34,35.41,-21.77,-0.25,0.00,0.37,78.08,0.46,,
668366459.5,00016M14:01:52.544,0016 13:29:28,117.79,25.34,35.41,-21.77,-0.25,0.00,0.37,78.08,0.46,,
668366460,00016M14:01:53.031,0016 13:29:29,117.79,25.35,35.41,-21.77,-0.25,0.00,0.37,78.08,0.46,,
668366460.5,00016M14:01:53.517,0016 13:29:29,117.78,25.35,35.41,-21.77,-0.25,0.00,0.37,78.08,0.46,,
668366461,00016M14:01:54.004,0016 13:29:30,117.78,25.35,35.41,-21.77,-0.25,0.00,0.37,78.08,0.46,,
668366461.5,00016M14:01:54.491,0016 13:29:30,117.78,25.35,35.41,-21.77,-0.25,0.00,0.37,78.08,0.46,,
668366462,00016M14:01:54.977,0016 13:29:31,117.78,25.35,35.41,-21.77,-0.25,0.00,0.37,78.08,0.46,,
668366462.5,00016M14:01:55.464,0016 13:29:31,117.77,25.35,35.41,-21.77,-0.25,0.00,0.37,78.08,0.46,,
668366463,00016M14:01:55.950,0016 13:29:32,117.77,25.36,35.41,-21.77,-0.25,0.00,0.37,78.08,0.46,,
668366463.5,00016M14:01:56.437,0016 13:29:32,117.77,25.36,35.41,-21.77,-0.25,0.00,0.37,77.94,0.47,,
668366464,00016M14:01:56.924,0016 13:29:33,117.77,25.36,35.41,-21.77,-0.25,0.00,0.36,77.79,0.48,,
668366464.5,00016M14:01:57.410,0016 13:29:33,117.76,25.36,35.41,-21.77,-0.25,0.00,0.36,77.65,0.49,,
668366465,00016M14:01:57.897,0016 13:29:34,117.76,25.36,35.41,-21.77,-0.25,0.00,0.35,77.50,0.50,,
668366465.5,00016M14:01:58.384,0016 13:29:34,117.76,25.37,35.41,-21.77,-0.25,0.00,0.35,77.36,0.51,,
668366466,00016M14:01:58.870,0016 13:29:35,117.76,25.37,35.41,-21.77,-0.25,0.00,0.34,77.21,0.52,,
668366466.5,00016M14:01:59.357,0016 13:29:35,117.75,25.37,35.41,-21.77,-0.25,0.00,0.34,77.07,0.53,,
668366467,00016M14:01:59.843,0016 13:29:36,117.75,25.37,35.41,-21.77,-0.25,0.00,0.33,76.92,0.54,,
668366467.5,00016M14:02:00.330,0016 13:29:36,117.75,25.37,35.41,-21.77,-0.25,0.00,0.33,76.78,0.55,,
668366468,00016M14:02:00.817,0016 13:29:37,117.75,25.37,35.41,-21.77,-0.25,0.00,0.32,76.63,0.56,,
668366468.5,00016M14:02:01.303,0016 13:29:37,117.74,25.38,35.41,-21.77,-0.25,0.00,0.32,76.49,0.57,,
668366469,00016M14:02:01.790,0016 13:29:38,117.74,25.38,35.41,-21.77,-0.25,0.00,0.31,76.34,0.58,,
668366469.5,00016M14:02:02.277,0016 13:29:38,117.74,25.38,35.41,-21.77,-0.25,0.00,0.31,76.20,0.59,,
668366470,00016M14:02:02.763,0016 13:29:39,117.74,25.38,35.41,-21.77,-0.25,0.00,0.31,76.05,0.60,,
668366470.5,00016M14:02:03.250,0016 13:29:39,117.73,25.38,35.41,-21.77,-0.25,0.00,0.30,75.91,0.61,,
668366471,00016M14:02:03.736,0016 13:29:40,117.73,25.38,35.41,-21.77,-0.25,0.00,0.30,75.76,0.62,,
668366471.5,00016M14:02:04.223,0016 13:29:40,117.73,25.39,35.41,-21.77,-0.25,0.00,0.29,75.62,0.63,,
668366472,00016M14:02:04.710,0016 13:29:41,117.73,25.39,35.41,-21.77,-0.25,0.00,0.29,75.47,0.64,,
668366472.5,00016M14:02:05.196,0016 13:29:41,117.72,25.39,35.41,-21.77,-0.25,0.00,0.28,75.33,0.65,,
668366473,00016M14:02:05.683,0016 13:29:42,117.72,25.39,35.41,-21.77,-0.25,0.00,0.28,75.18,0.66,,
668366473.5,00016M14:02:06.170,0016 13:29:42,117.72,25.39,35.41,-21.77,-0.25,0.00,0.27,75.04,0.67,,
668366474,00016M14:02:06.656,0016 13:29:43,117.72,25.39,35.41,-21.77,-0.25,0.00,0.27,74.89,0.68,,
668366474.5,00016M14:02:07.143,0016 13:29:43,117.71,25.40,35.41,-21.77,-0.25,0.00,0.27,74.75,0.69,,
668366475,00016M14:02:07.629,0016 13:29:44,117.71,25.40,35.41,-21.77,-0.25,0.00,0.26,74.60,0.70,,
668366475.5,00016M14:02:08.116,0016 13:29:44,117.71,25.40,35.41,-21.77,-0.25,0.00,0.26,74.45,0.71,,
668366476,00016M14:02:08.603,0016 13:29:44,117.71,25.40,35.41,-21.77,-0.25,0.00,0.25,74.31,0.72,,
668366476.5,00016M14:02:09.089,0016 13:29:45,117.70,25.40,35.41,-21.77,-0.25,0.00,0.25,74.16,0.74,,
668366477,00016M14:02:09.576,0016 13:29:45,117.70,25.40,35.41,-21.77,-0.25,0.00,0.24,74.02,0.75,,
668366477.5,00016M14:02:10.063,0016 13:29:46,117.70,25.41,35.41,-21.77,-0.25,0.00,0.24,73.87,0.76,,
668366478,00016M14:02:10.549,0016 13:29:46,117.70,25.41,35.41,-21.77,-0.25,0.00,0.24,73.73,0.77,,
668366478.5,00016M14:02:11.036,0016 13:29:47,117.69,25.41,35.41,-21.77,-0.25,0.00,0.23,73.58,0.78,,
668366479,00016M14:02:11.522,0016 13:29:47,117.69,25.41,35.41,-21.77,-0.25,0.00,0.23,73.44,0.79,,
668366479.5,00016M14:02:12.009,0016 13:29:48,117.69,25.41,35.41,-21.77,-0.25,0.00,0.22,73.29,0.80,,
668366480,00016M14:02:12.496,0016 13:29:48,117.68,25.41,35.41,-21.77,-0.25,0.00,0.22,73.15,0.81,,
668366480.5,00016M14:02:12.982,0016 13:29:49,117.68,25.42,35.41,-21.77,-0.25,0.00,0.21,73.00,0.82,,
668366481,00016M14:02:13.469,0016 13:29:49,117.68,25.42,35.41,-21.77,-0.25,0.00,0.21,72.86,0.83,,
668366481.5,00016M14:02:13.956,0016 13:29:50,117.68,25.42,35.41,-21.77,-0.25,0.00,0.21,72.71,0.84,,
668366482,00016M14:02:14.442,0016 13:29:50,117.67,25.42,35.41,-21.77,-0.25,0.00,0.20,72.57,0.85,,
668366482.5,00016M14:02:14.929,0016 13:29:51,117.67,25.42,35.41,-21.77,-0.25,0.00,0.20,72.57,0.85,,
668366483,00016M14:02:15.415,0016 13:29:51,117.67,25.42,35.41,-21.77,-0.25,0.00,0.20,72.57,0.85,,
668366483.5,00016M14:02:15.902,0016 13:29:52,117.67,25.43,35.41,-21.77,-0.25,0.00,0.20,72.57,0.85,,
668366484,00016M14:02:16.389,0016 13:29:52,117.66,25.43,35.41,-21.77,-0.25,0.00,0.20,72.57,0.85,,
668366484.5,00016M14:02:16.875,0016 13:29:53,117.66,25.43,35.41,-21.77,-0.25,0.00,0.20,72.57,0.85,,
668366485,00016M14:02:17.362,0016 13:29:53,117.66,25.43,35.41,-21.77,-0.25,0.00,0.20,72.57,0.85,,
668366485.5,00016M14:02:17.849,0016 13:29:54,117.66,25.43,35.42,-21.78,-0.25,103.00,0.20,72.57,0.85,,
668366486,00016M14:02:18.335,0016 13:29:54,117.65,25.43,35.42,-21.80,-0.25,103.00,0.20,72.57,0.85,,
668366486.5,00016M14:02:18.822,0016 13:29:55,117.65,25.44,35.42,-21.81,-0.25,103.00,0.21,72.57,0.84,,
668366487,00016M14:02:19.308,0016 13:29:55,117.65,25.44,35.43,-21.82,-0.25,103.00,0.21,72.56,0.84,,
668366487.5,00016M14:02:19.795,0016 13:29:56,117.65,25.44,35.43,-21.84,-0.25,103.00,0.21,72.56,0.84,,
668366488,00016M14:02:20.282,0016 13:29:56,117.64,25.44,35.44,-21.85,-0.25,103.00,0.21,72.56,0.84,,
668366488.5,00016M14:02:20.768,0016 13:29:57,117.64,25.44,35.44,-21.86,-0.25,103.00,0.21,72.56,0.83,,
668366489,00016M14:02:21.255,0016 13:29:57,117.64,25.44,35.45,-21.88,-0.25,103.00,0.21,72.56,0.83,,
668366489.5,00016M14:02:21.742,0016 13:29:58,117.64,25.45,35.45,-21.89,-0.25,103.00,0.21,72.56,0.83,,
668366490,00016M14:02:22.228,0016 13:29:58,117.63,25.45,35.45,-21.91,-0.25,103.00,0.21,72.56,0.82,,
668366490.5,00016M14:02:22.715,0016 13:29:59,117.63,25.45,35.46,-21.92,-0.25,103.00,0.21,72.56,0.82,,
668366491,00016M14:02:23.201,0016 13:29:59,117.63,25.45,35.46,-21.93,-0.25,103.00,0.21,72.56,0.82,,
668366491.5,00016M14:02:23.688,0016 13:30:00,117.63,25.45,35.47,-21.95,-0.25,103.00,0.21,72.56,0.82,,
668366492,00016M14:02:24.175,0016 13:30:00,117.62,25.46,35.47,-21.96,-0.25,103.00,0.21,72.56,0.81,,
668366492.5,00016M14:02:24.661,0016 13:30:01,117.62,25.46,35.47,-21.97,-0.25,103.00,0.21,72.56,0.81,,
668366493,00016M14:02:25.148,0016 13:30:01,117.62,25.46,35.48,-21.99,-0.25,103.00,0.21,72.56,0.81,,
668366493.5,00016M14:02:25.635,0016 13:30:02,117.62,25.46,35.48,-22.00,-0.25,103.00,0.21,72.56,0.81,,
668366494,00016M14:02:26.121,0016 13:30:02,117.61,25.46,35.49,-22.01,-0.25,103.00,0.22,72.56,0.80,,
668366494.5,00016M14:02:26.608,0016 13:30:02,117.61,25.46,35.49,-22.03,-0.25,103.00,0.22,72.55,0.80,,
668366495,00016M14:02:27.094,0016 13:30:03,117.61,25.47,35.50,-22.04,-0.25,103.00,0.22,72.55,0.80,,
668366495.5,00016M14:02:27.581,0016 13:30:03,117.61,25.47,35.50,-22.06,-0.25,103.00,0.22,72.55,0.79,,
668366496,00016M14:02:28.068,0016 13:30:04,117.60,25.47,35.50,-22.07,-0.25,103.00,0.22,72.55,0.79,,
668366496.5,00016M14:02:28.554,0016 13:30:04,117.60,25.47,35.51,-22.08,-0.25,103.00,0.22,72.55,0.79,,
668366497,00016M14:02:29.041,0016 13:30:05,117.60,25.47,35.51,-22.10,-0.25,103.00,0.22,72.55,0.79,,
668366497.5,00016M14:02:29.528,0016 13:30:05,117.60,25.47,35.52,-22.11,-0.25,103.00,0.22,72.55,0.78,,
668366498,00016M14:02:30.014,0016 13:30:06,117.59,25.48,35.52,-22.12,-0.25,103.00,0.22,72.55,0.78,,
668366498.5,00016M14:02:30.501,0016 13:30:06,117.59,25.48,35.53,-22.14,-0.25,103.00,0.22,72.55,0.78,,
668366499,00016M14:02:30.988,0016 13:30:07,117.59,25.48,35.53,-22.15,-0.25,103.00,0.22,72.55,0.78,,
668366499.5,00016M14:02:31.474,0016 13:30:07,117.59,25.48,35.53,-22.17,-0.25,103.00,0.22,72.55,0.77,,
668366500,00016M14:02:31.961,0016 13:30:08,117.58,25.48,35.54,-22.18,-0.25,103.00,0.22,72.55,0.77,,
668366500.5,00016M14:02:32.447,0016 13:30:08,117.58,25.48,35.54,-22.19,-0.25,103.00,0.22,72.55,0.77,,
668366501,00016M14:02:32.934,0016 13:30:09,117.58,25.49,35.55,-22.21,-0.25,103.00,0.22,72.55,0.77,,
668366501.5,00016M14:02:33.421,0016 13:30:09,117.58,25.49,35.55,-22.22,-0.25,103.00,0.23,72.55,0.76,,
668366502,00016M14:02:33.907,0016 13:30:10,117.57,25.49,35.56,-22.23,-0.25,103.00,0.23,72.55,0.76,,
668366502.5,00016M14:02:34.394,0016 13:30:10,117.57,25.49,35.56,-22.25,-0.25,103.00,0.23,72.54,0.76,,
668366503,00016M14:02:34.881,0016 13:30:11,117.57,25.49,35.56,-22.26,-0.25,103.00,0.23,72.54,0.75,,
668366503.5,00016M14:02:35.367,0016 13:30:11,117.57,25.49,35.57,-22.27,-0.25,103.00,0.23,72.54,0.75,,
668366504,00016M14:02:35.854,0016 13:30:12,117.56,25.50,35.57,-22.29,-0.25,103.00,0.23,72.54,0.75,,
668366504.5,00016M14:02:36.340,0016 13:30:12,117.56,25.50,35.58,-22.30,-0.25,103.00,0.23,72.54,0.75,,
668366505,00016M14:02:36.827,0016 13:30:13,117.56,25.50,35.58,-22.32,-0.25,103.00,0.23,72.54,0.74,,
