SCLK,LMST,LTST,SOLAR_LONGITUDE_ANGLE,SOLAR_ZENITHAL_ANGLE,ROVER_POSITION_X,ROVER_POSITION_Y,ROVER_POSITION_Z,ROVER_VELOCITY,ROVER_PITCH,ROVER_YAW,ROVER_ROLL,MASTHEAD_AZIMUTH,MASTHEAD_ELEVATION
668366325.5,00016M13:59:42.128,0016 13:27:18,118.48,24.89,34.50,-18.58,-0.31,124.19,2.06,71.64,0.36,,
668366326,00016M13:59:42.615,0016 13:27:18,118.48,24.89,34.51,-18.60,-0.31,124.19,2.08,71.63,0.37,,
668366326.5,00016M13:59:43.102,0016 13:27:19,118.48,24.89,34.51,-18.61,-0.31,124.19,2.10,71.61,0.37,,
668366327,00016M13:59:43.588,0016 13:27:19,118.47,24.90,34.52,-18.63,-0.31,124.19,2.12,71.60,0.38,,
668366327.5,00016M13:59:44.075,0016 13:27:20,118.47,24.90,34.52,-18.65,-0.31,128.66,2.11,71.60,0.39,,
668366328,00016M13:59:44.561,0016 13:27:20,118.47,24.90,34.53,-18.66,-0.31,128.66,2.11,71.59,0.39,,
668366328.5,00016M13:59:45.048,0016 13:27:21,118.47,24.90,34.53,-18.68,-0.31,128.66,2.11,71.59,0.40,,
668366329,00016M13:59:45.535,0016 13:27:21,118.46,24.90,34.54,-18.70,-0.30,128.66,2.10,71.59,0.41,,
668366329.5,00016M13:59:46.021,0016 13:27:22,118.46,24.90,34.55,-18.71,-0.30,128.66,2.10,71.58,0.41,,
668366330,00016M13:59:46.508,0016 13:27:22,118.46,24.91,34.55,-18.73,-0.30,128.66,2.09,71.58,0.42,,
668366330.5,00016M13:59:46.995,0016 13:27:23,118.46,24.91,34.56,-18.75,-0.30,128.66,2.09,71.58,0.42,,
668366331,00016M13:59:47.481,0016 13:27:23,118.45,24.91,34.56,-18.77,-0.30,128.66,2.09,71.58,0.43,,
668366331.5,00016M13:59:47.968,0016 13:27:24,118.45,24.91,34.57,-18.78,-0.30,128.66,2.08,71.57,0.44,,
668366332,00016M13:59:48.454,0016 13:27:24,118.45,24.91,34.57,-18.80,-0.30,128.66,2.08,71.57,0.44,,
668366332.5,00016M13:59:48.941,0016 13:27:25,118.44,24.91,34.58,-18.82,-0.30,128.66,2.08,71.57,0.45,,
668366333,00016M13:59:49.428,0016 13:27:25,118.44,24.92,34.58,-18.83,-0.30,128.66,2.07,71.56,0.45,,
